Store_new,Order_ID,Order_Amt,items_ordered,Date_Ordered
Store3,4722299329,86.9265,1,12/21/2016
Store7,6029206471,36,1,9/3/2017
Store7,6028776455,36,1,9/3/2017
Store7,6030932359,84,1,9/3/2017
Store5,75400839193,100,2,9/3/2017
Store7,6031459143,137,1,9/3/2017
Store7,6031148615,69,1,9/3/2017
Store7,6029150343,85,2,9/3/2017
Store7,6029764871,155,1,9/3/2017
Store7,6029324103,243,1,9/3/2017
Store7,6030990471,279,2,9/3/2017
Store7,6029926535,43,1,9/3/2017
Store7,6029915079,205,1,9/3/2017
Store7,6031394951,175,1,9/3/2017
Store7,2865271239,124,1,4/10/2016
Store5,4911429836,36,1,12/22/2016
Store7,4967191431,100,1,12/22/2016
Store7,4967167751,210,3,12/22/2016
Store7,4967788295,195,1,12/22/2016
Store7,4968895431,90,1,12/22/2016
Store7,4966853703,90,1,12/22/2016
Store3,4726167489,154.1835,1,12/22/2016
Store3,4724881409,12.69,1,12/22/2016
Store7,6035658503,36,1,9/4/2017
Store7,6032865863,36,1,9/4/2017
Store7,6036058759,38,2,9/4/2017
Store7,6035538759,58,1,9/4/2017
Store7,6033577415,60,3,9/4/2017
Store7,6035960839,84,1,9/4/2017
Store7,6036070599,200,2,9/4/2017
Store7,6033226695,225,2,9/4/2017
Store7,6035770119,65,1,9/4/2017
Store7,6035406087,125,1,9/4/2017
Store7,6032567367,202,1,9/4/2017
Store7,6033801223,243,1,9/4/2017
Store7,6032788423,43,1,9/4/2017
Store7,6031884423,43,1,9/4/2017
Store7,6031733959,43,1,9/4/2017
Store7,6035050759,63,1,9/4/2017
Store7,6035906951,70,1,9/4/2017
Store7,6031892295,90,1,9/4/2017
Store7,6034995143,882,4,9/4/2017
Store7,6036005831,205,1,9/4/2017
Store7,6033155207,143,2,9/4/2017
Store7,4972421063,36,1,12/23/2016
Store7,4974185735,677,3,12/23/2016
Store7,4975556039,243,1,12/23/2016
Store5,4915379916,205,1,12/23/2016
Store3,4728886337,41.2425,1,12/23/2016
Store3,4728940481,12.69,1,12/23/2016
Store7,6037690055,36,1,9/5/2017
Store5,80020799513,36,1,9/5/2017
Store7,6038880199,36,1,9/5/2017
Store7,6038651463,36,1,9/5/2017
Store7,6039236807,36,1,9/5/2017
Store7,6039545095,36,1,9/5/2017
Store7,6037940615,116,2,9/5/2017
Store7,6036524423,137,1,9/5/2017
Store7,6037301383,155,1,9/5/2017
Store7,6037174791,243,1,9/5/2017
Store7,6039435591,43,1,9/5/2017
Store7,6038164359,43,1,9/5/2017
Store7,6037490055,43,1,9/5/2017
Store7,6038962567,63,2,9/5/2017
Store7,6038951559,94,1,9/5/2017
Store7,6038770759,94,1,9/5/2017
Store7,6038429959,360,3,9/5/2017
Store3,5734218497,28.5525,1,9/5/2017
Store7,2873209607,36,1,4/12/2016
Store7,4978301191,36,1,12/24/2016
Store7,4978465159,243,1,12/24/2016
Store7,6042006919,36,1,9/6/2017
Store7,6042192263,36,1,9/6/2017
Store5,81348100121,96,2,9/6/2017
Store7,6040764615,243,1,9/6/2017
Store7,6041220551,243,1,9/6/2017
Store5,80344743961,35,1,9/6/2017
Store7,6041963975,43,1,9/6/2017
Store7,6040266183,43,1,9/6/2017
Store7,6042552903,205,1,9/6/2017
Store7,6040520519,111,2,9/6/2017
Store5,4921656780,36,1,12/25/2016
Store7,4980992839,485,3,12/25/2016
Store7,4980726215,131,1,12/25/2016
Store7,6046024007,20,1,9/7/2017
Store7,6045315975,60,1,9/7/2017
Store7,6044436871,84,1,9/7/2017
Store7,6046629127,120,1,9/7/2017
Store7,6043757063,218,3,9/7/2017
Store7,6046651335,243,1,9/7/2017
Store7,6046225991,243,1,9/7/2017
Store7,6043816519,35,1,9/7/2017
Store7,6046384135,35,1,9/7/2017
Store5,83355467801,43,1,9/7/2017
Store7,6046243591,43,1,9/7/2017
Store7,6043807239,43,1,9/7/2017
Store7,6044834695,43,1,9/7/2017
Store7,6044847559,103,2,9/7/2017
Store3,5743051777,22.842,1,9/7/2017
Store3,5744300353,137.6865,1,9/7/2017
Store3,5743185537,130.0725,1,9/7/2017
Store3,5743059521,59.643,1,9/7/2017
Store7,2889243975,43,1,4/14/2016
Store7,4987754887,36,1,12/26/2016
Store7,6049113351,13,1,9/8/2017
Store7,6049706695,36,1,9/8/2017
Store7,6049774727,36,1,9/8/2017
Store7,6048341895,160,8,9/8/2017
Store7,6047153415,65,1,9/8/2017
Store7,6048381447,904,6,9/8/2017
Store7,6046918087,243,1,9/8/2017
Store7,6049974087,243,1,9/8/2017
Store7,6046917575,243,1,9/8/2017
