Amazon,Apple,Ebay,Facebook,Google,Twitter
617.328,115.6200027,28.34000015,104.5999985,762.5499878,23.95000076
613.746,116.1699982,28.56999969,105.4199982,760.039978,24.29999924
619.138,113.1800003,27.96500015,102.1200027,750.4199829,23.30999947
597.472,112.4800034,28.03499985,104.6600037,762.539978,22.98999977
607.257,110.4899979,28.30999947,104.5500031,760.0900269,22.13999939
586.172,111.3399963,28.56999969,106.7900009,776.5900269,22.55999947
587.078,108.9800034,28.04999924,106.2200012,769.8300171,22.67000008
611.803,106.0299988,27.45999908,104.0400009,756.8499756,22.96999931
606.387,107.3300018,27.59000015,104.7699966,760.7999878,22.53000069
625.307,107.2300034,27.88999939,105.5100021,767.1300049,22.46999931
614.833,108.6100006,27.78000069,104.6299973,768.5100098,22.22999954
609.357,108.0299988,27.65999985,105.0199966,765.8400269,23.13999939
603.393,106.8199997,27.63999939,105.9300003,782.2399902,22.55999947
604.296,108.7399979,27.90999985,107.2600021,793.960022,21.92000008
612.099,107.3199997,27.75,106.2200012,790.2999878,21.38999939
634.55,105.2600021,27.47999954,104.6600037,778.0100098,20.26000023
633.02,105.3499985,26.43000031,102.2200012,759.4400024,19.97999954
589.341,102.7099991,26.12000084,102.7300034,761.5300293,19.64999962
591.74,100.6999969,26.40999985,102.9700012,759.3300171,19.62000084
584.949,96.44999695,25.69000053,97.91999817,741,18.68000031
560.089,96.95999908,25.75,97.33000183,730.9099731,19
561.726,98.52999878,26.10000038,97.51000214,733.0700073,17.94000053
551.545,99.95999908,26.20999908,99.37000275,745.3400269,16.69000053
570.458,97.38999939,25.40999985,95.44000244,719.5700073,17.37999916
543.549,99.51999664,25.86000061,98.37000275,731.3900146,17.82999992
548.027,97.12999725,25.26000023,94.97000122,710.4899902,17.84000015
522.823,96.66000366,25.77000046,95.26000214,719.0800171,17.02000046
522.754,96.79000092,25.81999969,94.34999847,718.5599976,17.01000023
524.942,96.30000305,26.09000015,94.16000366,726.6699829,16.78000069
507.421,101.4199982,26.43000031,97.94000244,745.460022,16.48999977
535.967,99.44000244,26.13500023,97.01000214,733.6199951,16.79999924
553.081,99.98999786,26.64999962,97.33999634,733.789978,17.90999985
559.734,93.41999817,26.42000008,94.44999695,717.5800171,16.07999992
553.738,94.08999634,23.12999916,109.1100006,748.2999878,16.55999947
543.25,97.33999634,23.45999908,112.2099991,761.3499756,16.90999985
570.128,96.43000031,23.94000053,115.0899963,770.7700195,15.72000027
539.12,94.48000336,23.29000092,114.6100006,780.9099731,14.39999962
528.348,96.34999847,23.5,112.6900024,749.3800049,14.97999954
505.536,96.59999847,23.48999977,110.4899979,730.0300293,14.31000042
470,94.01999664,23.20000076,104.0699997,703.7600098,15.88000011
475.642,95.01000214,22.47999954,99.75,704.1599731,16.36000061
452.253,94.98999786,22.01000023,99.54000092,701.0200195,17.45999908
427.15,94.26999664,22.31999969,101,706.8499756,18.43000031
422.116,93.69999695,22.07999992,101.9100037,706.3599854,18.30999947
442.484,93.98999786,22.48999977,102.0100021,706.8900146,18.29999924
