Amazon,Apple,Ebay,Facebook,Google,Twitter
0.009814176,0.005901794,-0.000976185,-0.001848421,-0.011248208,-0.004372248
-0.005733969,0.006923214,0.008600171,0.014682548,-0.004220161,0.018402365
-0.01325728,-0.002058807,0.01317853,0.035327847,0.007002004,0.008418888
-0.00104964,0.008135447,0.006417048,0.005980842,-0.008600205,-0.013031956
0.017597666,0.027066721,0.000864033,-0.013204836,-0.012550734,0.004538836
0.001194192,-0.006240615,0.005683244,-0.00494672,0.006915911,-0.002875321
0.004137321,-0.025573163,-0.000858409,0.014149148,0.015964313,0.01771371
-0.006969336,0.01261744,0.003257565,0.010683838,0.021925818,-0.026917588
0.019309927,-0.014990505,-0.010763837,-0.01790825,0.005900211,0.0014559
0.012008824,0.004904169,0.008119673,0.009877153,0.02204057,-0.00913816
-0.007896351,0.002091597,-0.002144815,-0.001880897,0.006608674,-0.002934383
0.007601812,-0.006338956,0.000946276,0.016268822,-0.000863856,-0.004624789
-0.006160582,-0.016570637,0.013206197,0.003893967,0.005360603,-0.012671563
0.016305779,0.001503005,0.01337196,-0.014838097,-0.014619882,0.017967918
0.005828747,0.00426541,0.015616294,-0.007061994,0.002094521,-0.036772431
0.009060185,-0.020685837,-0.026231327,-0.023791532,-0.024734283,0.00938046
-0.013800066,-0.018231501,0.007853055,0.000257855,-0.007501361,0.017289804
-0.005875062,0.018079181,-0.00443941,0.017532559,0.009897426,-0.008710428
0.014613912,-0.006910411,-0.005723022,-0.011149085,-0.014611568,-0.004929266
0.005456878,0.011004132,0.008462938,0.000256203,0.015551493,0.010768899
-0.004828959,0.016726723,-0.001344107,0.016587654,-0.007122507,0.005753259
0.005724283,0.0112563,-0.0179008,0.019467093,0.015423309,0.015466092
-0.004088166,-0.007589309,-0.009414498,0.022741271,-0.004415401,0.010640482
-0.018815055,-0.012510304,0.000952488,0.012688859,0.00230617,0.000412891
0.016343252,0.010405064,0.011910651,0.007517867,0.000708008,0.062113128
0.001443446,-0.004087703,0.015179223,0.010422803,0.021400734,-0.038274746
-0.01732772,-0.026126807,-0.024362818,-0.028015467,-0.018181818,0.008484811
-0.006907787,0.006970341,-0.00938766,0.001085431,-0.005996516,0.001802888
-0.010864298,-0.007968431,0.001999396,0.003493566,-0.010645849,-0.002399499
-0.003192984,0.025314424,0.005120585,-0.001260544,0.006276901,0.003808427
0.011572416,-0.015351764,-0.004233119,-0.011779594,-0.011406102,0.007787527
0.00937971,-0.001446599,-0.009531951,-0.006689721,-0.009374458,-0.000990748
0.014786895,0.008611668,-0.003851139,-0.001346974,-0.014922679,0.008330067
-0.015722857,0.016198522,-0.001582277,0.010851599,0.004988015,0.039929165
